Time,Distance1,Distance2,Distance3
0.0,14.142135623730951,14.142135623730951,14.0
0.001,14.142135623730951,14.142135623730951,14.0
0.002,14.142135623730956,14.142135623730956,14.000000000000005
0.003,14.14213562373098,14.14213562373098,14.000000000000028
0.004,14.142135623731038,14.142135623731038,14.000000000000089
0.005,14.142135623731166,14.142135623731166,14.000000000000217
0.006,14.142135623731397,14.142135623731397,14.000000000000451
0.007,14.142135623731777,14.142135623731777,14.000000000000835
0.008,14.142135623732361,14.142135623732361,14.000000000001425
0.009,14.14213562373321,14.14213562373321,14.000000000002283
0.01,14.142135623734394,14.142135623734394,14.000000000003478
0.011,14.142135623735992,14.142135623735992,14.000000000005093
0.012,14.142135623738092,14.142135623738092,14.000000000007214
0.013,14.142135623740787,14.142135623740787,14.000000000009937
0.014,14.142135623744181,14.142135623744181,14.000000000013364
0.015,14.142135623748384,14.142135623748384,14.00000000001761
0.016,14.142135623753521,14.142135623753521,14.0000000000228
0.017,14.142135623759714,14.142135623759714,14.000000000029056
0.018,14.142135623767102,14.142135623767102,14.000000000036518
0.019,14.14213562377583,14.14213562377583,14.000000000045336
0.02,14.142135623786052,14.142135623786052,14.00000000005566
0.021,14.142135623797927,14.142135623797927,14.000000000067656
0.022,14.142135623811624,14.142135623811624,14.000000000081492
0.023,14.142135623827322,14.142135623827322,14.00000000009735
0.024,14.142135623845208,14.142135623845208,14.000000000115417
0.025,14.142135623865475,14.142135623865475,14.00000000013589
0.026,14.142135623888322,14.142135623888322,14.00000000015897
0.027,14.142135623913967,14.142135623913967,14.000000000184874
0.028,14.142135623942623,14.142135623942623,14.000000000213822
0.029,14.14213562397452,14.14213562397452,14.000000000246041
0.03,14.142135624009892,14.142135624009892,14.000000000281775
0.031,14.142135624048985,14.142135624048985,14.000000000321263
0.032,14.142135624092049,14.142135624092049,14.000000000364764
0.033,14.142135624139344,14.142135624139344,14.00000000041254
0.034,14.142135624191141,14.142135624191141,14.000000000464862
0.035,14.142135624247713,14.142135624247713,14.000000000522009
0.036,14.142135624309349,14.142135624309349,14.00000000058427
0.037,14.14213562437634,14.14213562437634,14.000000000651942
0.038,14.142135624448988,14.142135624448988,14.000000000725327
0.039,14.142135624527604,14.142135624527604,14.000000000804741
0.04,14.142135624612504,14.142135624612504,14.000000000890504
0.041,14.142135624704016,14.142135624704016,14.000000000982945
0.042,14.142135624802473,14.142135624802473,14.000000001082402
0.043,14.142135624908219,14.142135624908219,14.000000001189221
0.044,14.142135625021604,14.142135625021604,14.000000001303757
0.045,14.14213562514299,14.14213562514299,14.000000001426375
0.046,14.142135625272742,14.142135625272742,14.000000001557444
0.047,14.142135625411235,14.142135625411235,14.000000001697343
0.048,14.142135625558856,14.142135625558856,14.000000001846463
0.049,14.142135625715994,14.142135625715994,14.000000002005198
0.05,14.142135625883054,14.142135625883054,14.000000002173952
0.051,14.14213562606044,14.14213562606044,14.00000000235314
0.052,14.142135626248573,14.142135626248573,14.000000002543183
0.053,14.142135626447876,14.142135626447876,14.000000002744509
0.054,14.142135626658783,14.142135626658783,14.000000002957558
0.055,14.142135626881736,14.142135626881736,14.000000003182773
0.056,14.142135627117185,14.142135627117185,14.000000003420613
0.057,14.142135627365587,14.142135627365587,14.000000003671538
0.058,14.142135627627411,14.142135627627411,14.00000000393602
0.059,14.14213562790313,14.14213562790313,14.000000004214538
0.06,14.142135628193229,14.142135628193229,14.000000004507582
0.061,14.142135628498197,14.142135628498197,14.000000004815645
0.062,14.142135628818533,14.142135628818533,14.000000005139233
0.063,14.142135629154746,14.142135629154746,14.00000000547886
0.064,14.14213562950735,14.14213562950735,14.000000005835046
0.065,14.142135629876874,14.142135629876874,14.000000006208321
0.066,14.142135630263846,14.142135630263846,14.00000000659922
0.067,14.14213563066881,14.14213563066881,14.000000007008294
0.068,14.142135631092309,14.142135631092309,14.000000007436096
0.069,14.142135631534908,14.142135631534908,14.000000007883186
0.07,14.142135631997164,14.142135631997164,14.000000008350137
0.071,14.142135632479656,14.142135632479656,14.000000008837528
0.072,14.142135632982967,14.142135632982967,14.000000009345948
0.073,14.142135633507682,14.142135633507682,14.00000000987599
0.074,14.142135634054402,14.142135634054402,14.000000010428261
0.075,14.142135634623733,14.142135634623733,14.00000001100337
0.076,14.142135635216288,14.142135635216288,14.000000011601944
0.077,14.142135635832695,14.142135635832695,14.000000012224607
0.078,14.14213563647358,14.14213563647358,14.000000012871999
0.079,14.142135637139583,14.142135637139583,14.000000013544765
0.08,14.142135637831354,14.142135637831354,14.00000001424356
0.081,14.142135638549547,14.142135638549547,14.000000014969043
0.082,14.142135639294827,14.142135639294827,14.00000001572189
0.083,14.142135640067863,14.142135640067863,14.000000016502774
0.084,14.14213564086934,14.14213564086934,14.000000017312388
0.085,14.142135641699944,14.142135641699944,14.000000018151423
0.086,14.14213564256037,14.14213564256037,14.000000019020586
0.087,14.142135643451327,14.142135643451327,14.00000001992059
0.088,14.142135644373527,14.142135644373527,14.00000002085215
0.089,14.14213564532769,14.14213564532769,14.000000021816001
0.09,14.142135646314545,14.142135646314545,14.000000022812875
0.091,14.142135647334833,14.142135647334833,14.000000023843521
0.092,14.142135648389296,14.142135648389296,14.00000002490869
0.093,14.142135649478691,14.142135649478691,14.000000026009145
0.094,14.14213565060378,14.14213565060378,14.000000027145658
0.095,14.142135651765335,14.142135651765335,14.000000028319004
0.096,14.14213565296413,14.14213565296413,14.000000029529971
0.097,14.142135654200958,14.142135654200958,14.000000030779356
0.098,14.14213565547661,14.14213565547661,14.000000032067959
0.099,14.14213565679189,14.14213565679189,14.000000033396592
0.1,14.14213565814761,14.14213565814761,14.000000034766078
0.101,14.142135659544593,14.142135659544593,14.000000036177243
0.102,14.14213566098366,14.14213566098366,14.00000003763092
0.103,14.142135662465654,14.142135662465654,14.000000039127958
0.104,14.142135663991414,14.142135663991414,14.00000004066921
0.105,14.142135665561796,14.142135665561796,14.000000042255534
0.106,14.142135667177659,14.142135667177659,14.000000043887804
0.107,14.142135668839872,14.142135668839872,14.00000004556689
0.108,14.14213567054931,14.14213567054931,14.000000047293685
0.109,14.142135672306864,14.142135672306864,14.000000049069083
0.11,14.14213567411342,14.14213567411342,14.00000005089398
0.111,14.142135675969886,14.142135675969886,14.000000052769293
0.112,14.142135677877167,14.142135677877167,14.00000005469594
0.113,14.142135679836183,14.142135679836183,14.000000056674844
0.114,14.142135681847861,14.142135681847861,14.000000058706945
0.115,14.142135683913132,14.142135683913132,14.000000060793184
0.116,14.142135686032942,14.142135686032942,14.000000062934514
0.117,14.142135688208237,14.142135688208237,14.000000065131896
0.118,14.14213569043998,14.14213569043998,14.000000067386296
0.119,14.142135692729136,14.142135692729136,14.000000069698691
0.12,14.142135695076679,14.142135695076679,14.000000072070069
0.121,14.142135697483592,14.142135697483592,14.00000007450142
0.122,14.142135699950868,14.142135699950868,14.000000076993745
0.123,14.142135702479507,14.142135702479507,14.000000079548055
0.124,14.142135705070514,14.142135705070514,14.000000082165368
0.125,14.142135707724906,14.142135707724906,14.000000084846707
0.126,14.142135710443705,14.142135710443705,14.000000087593111
0.127,14.142135713227947,14.142135713227947,14.000000090405619
0.128,14.142135716078668,14.142135716078668,14.000000093285283
0.129,14.14213571899692,14.14213571899692,14.000000096233162
0.13,14.142135721983754,14.142135721983754,14.00000009925032
0.131,14.14213572504024,14.14213572504024,14.000000102337836
