Latitude [deg],Longitude [deg],Altitude [m above MSL]
33.000022280793814,-84.99997583521534,202.3064641363746
32.99998521929061,-85.00002416991812,200.02392092746135
32.99997849784148,-85.00008154481168,202.77430085653327
32.999963014798986,-84.99999963751264,198.52369143877368
33.00000970625845,-85.00000761225067,200.6464996405513
33.00002992689711,-84.9999525424358,204.5816034306092
33.00003559048602,-84.99997661939508,201.09105145285977
33.00000274052882,-84.99997514750186,207.1408227859509
33.000002559196254,-84.99998673076044,199.52677275985366
33.0000076971739,-85.00002151535206,204.45930492642114
32.9999637004686,-84.99997687942795,200.68155125756303
32.99994928571675,-84.9999758339699,200.68081507274516
33.00002689862855,-85.00003335754009,197.37948212714934
33.00003355333899,-84.99998405435564,202.552681746047
33.00001438772131,-85.0000043176372,207.83811626407805
33.0000452407722,-84.99999438197324,200.7448584164887
33.00002636769711,-84.99998573627711,203.85466230389255
32.99998646034352,-84.99998699951281,203.18109018673744
33.00005851974674,-85.00005110087496,198.28473865240198
33.00004161177602,-84.99998609947717,200.15716521953306
32.9999633191996,-84.99999770981948,200.43538654486366
32.99999267185949,-84.99993132319456,200.1353232267309
33.000015013653666,-84.99997550439518,201.9089696523684
32.99998877894058,-84.99997135611005,198.8952900613239
33.00002650408544,-85.0000125150636,198.49857674477806
33.00003927568583,-85.00000129054581,202.43818750279758
32.999966441545986,-85.00001916725239,197.33291404783338
33.000008207783715,-84.99998718510874,198.4498682931684
33.00000770903408,-84.99994286316272,192.49182937429745
32.999968491738855,-85.00000996330583,203.0463923308574
32.99997492203244,-84.99998473523647,200.37149348126513
32.99998636489307,-84.99997710469074,201.20947051641528
32.9999905331111,-85.00002538801698,201.07625949751596
32.99999216980494,-84.99994326726019,198.658716085421
33.00002878084504,-85.00002146828034,203.35310067785755
32.9999879811075,-84.99997592496237,199.83753477652635
33.00003338487468,-84.99998537597406,201.41326244184813
32.999968683864644,-84.99999149512291,197.12013284611749
33.00003300392385,-84.99997104618257,199.59956003214268
33.00002152889309,-84.99997227682428,196.24552677877514
33.000019644417016,-85.00003210395936,203.13402158479627
33.00001117213391,-85.00000673372602,198.32392986606078
33.00001683072608,-85.00000095389514,198.10445041564319
32.9999643909987,-84.99998447319497,200.0622251058171
33.00001522807832,-84.99997052469897,196.14341153230157
32.999992808174724,-84.99996988872245,199.00021831258329
32.9999795556547,-85.00004840686304,198.03933107437226
32.99998363535404,-85.00002571205479,193.26151933062087
33.00004522045507,-84.99998935274157,194.06355865838472
32.999975049195655,-85.00005098487068,200.30306636463484
33.000017495697435,-85.00001188568488,197.106119497709
33.000040652200276,-84.99995959269069,200.04925005562075
33.00003083798526,-84.99997387648892,197.3295364612697
33.00003605925498,-85.00004049547142,205.40783308612035
32.99999274728104,-84.99997886325046,197.49453359978432
32.999998771031066,-85.00005848163154,197.74283140376548
32.99999655944864,-84.99998974224481,202.87032771158448
32.99999575149851,-85.00000281726786,198.5618137707519
32.99997941324448,-85.00003795913719,201.5534526903176
32.9999864052983,-84.99999154879848,198.02320436123821
32.99998252391863,-84.9999864490458,198.58428062052158
32.999996081956866,-85.00000109188565,201.26817841724605
33.00000366618643,-84.99999810851845,197.0353005508191
33.00000690937488,-85.0000621150091,196.77168917868414
33.00001408258893,-84.99999448422894,200.86865554609764
32.999986447157774,-85.00003551780395,199.18017508713507
32.99998800347214,-85.00000504003152,199.03306083093682
33.00001368882927,-85.00001252206218,200.0771739896604
33.00000559205806,-84.99999405549724,203.98490365524293
33.000038779232774,-84.99999558784181,200.89370768269933
32.99991222036232,-85.00000451865637,204.89814584410684
32.999983367779116,-84.99994356291812,198.13302996237167
32.99995690256726,-85.00000820615253,204.38798167767334
32.99997230390376,-85.00000072237809,198.65009482461497
32.99998346486801,-85.00003889957922,200.43749490150904
33.00001747342651,-85.00004521503834,203.84292747517094
32.9999603427998,-84.9999795932153,196.59892771960702
33.0000065102993,-85.00000252861204,200.19507209024087
33.000040112768865,-84.99998987528681,198.12022050513295
32.99998032932095,-85.00000427111418,198.32754395322
32.999988546156295,-84.99999439557342,202.49382130751218
32.999967478533705,-85.00001841389718,204.62261322504287
32.999948229576596,-84.99995912394951,200.77501394575737
32.99998597646306,-85.00002935696178,197.87302459076466
32.999993485013995,-85.00004254147059,198.80483555149152
32.9999509273501,-85.00000782692501,200.1993929096322
32.99998339744201,-85.0000005258263,200.10279682718377
33.00001294957558,-84.99999913948577,199.1591532111932
32.99998296989156,-85.00004198443958,195.2850682659958
32.999992418354715,-84.99996457657265,199.224749049182
33.00000816844976,-84.9999942100026,199.62625243060305
32.99993596066075,-85.00004111053461,202.29701987877147
32.99997553217003,-84.99997602061161,200.23549190225953
33.00000798213215,-85.00001290641727,200.4502379196425
33.00005679087793,-84.999958078927,200.37854125996708
32.99998541582388,-84.9999947327123,196.4337088700154
33.00000717806834,-84.99996196694653,201.64721581339722
32.99996228496481,-85.00002526893242,204.98866422956104
32.9999883727925,-85.00004287280584,200.94577639654943
33.00005204069457,-85.00000748887953,198.00215482310173
32.999974247014094,-84.99994481563334,198.31485801603176
32.99995948094889,-85.00001711623648,202.4513889033821
32.99999815749696,-85.00004265775372,196.68860328851062
33.000020510466435,-85.00001433404724,199.8654402039492
32.999983833061265,-85.00002511953137,202.82885808278613
33.00004022625728,-84.99999248912378,197.51561129955118
33.00001660518681,-84.99996170165981,203.33587820948424
33.0000255037754,-84.99996725387277,203.18899360412158
32.999983158820186,-84.99997445819514,199.61865921685728
32.999971027452155,-85.00000474675063,199.75987220877292
32.999998326987786,-85.00001268603631,205.73114424527975
33.0000166291156,-85.000031973487,204.3935816252138
33.000016334896976,-85.00005641353124,201.24838498038324
32.99997897245961,-84.99999371100209,201.56157878139078
33.00000535398405,-84.99995848765256,202.5345648431948
32.99998574110008,-84.99996390233589,198.05436544372603
32.99996792876238,-85.00001689900557,199.13211773401264
33.00002522927291,-84.99994921609944,195.6342741956761
32.99999044742917,-85.00000636760247,198.69902723335122
33.000000928210056,-85.0000807872422,199.43414211696683
32.99998211245105,-84.99999682940931,202.17199803531176
33.00000784305951,-85.00005517854649,197.36262615371828
32.99996957229624,-84.99996542196557,198.64503506504286
33.00004664865106,-85.00003732819216,200.93396232860673
32.99998366772083,-84.99996516980775,201.29974538336575
33.00000628939233,-85.00002160542321,208.13227516336622
32.99998193047804,-84.99995611872372,198.84841337432766
32.99997310115816,-84.99999209537553,207.41268453280827
32.999958518709285,-84.99994727777955,196.15082827707755
33.0000050575514,-85.00004248810635,200.99828620129443
32.99998809984332,-84.99999178882436,197.32842890849915
32.9999752666706,-84.99999084015577,200.6861592282815
33.00000899409341,-85.00001971688857,202.00882354563373
33.00003618688843,-84.99997856201279,201.99460706267138
33.000037465948324,-85.00000826396233,203.25308281448935
32.999997790841824,-85.00000289420363,197.64316509834194
32.999981443024616,-85.00005099246661,201.36093014938797
33.00001574636811,-84.99997667310261,200.85373019431103
32.99999406794389,-85.00004649352105,199.76939136237624
