time,z
0.0,-0.005507610922720655
0.001,0.015344284552442258
0.002,-0.0007230108831222892
0.003,0.002311427245316785
0.004,0.0005603734777943317
0.005,0.004488307223138765
0.006,0.010740828973393787
0.007,0.015570918241832684
0.008,0.0011891139290802258
0.009,0.02432881125094041
0.01,-0.0034413783757523955
0.011,-0.0024405422183865306
0.012,0.0011984063754343223
0.013,-0.007344392118631831
0.014,-0.008027700439219623
0.015,0.005882477734165726
0.016,-0.0070879600269161385
0.017,-0.012829213560667737
0.018,0.024902788332581277
0.019,0.00334408432203854
0.02,0.0027071656488117934
0.021,-0.0023415192765892886
0.022,0.001930738365185755
0.023,0.0006908112080374314
0.024,-0.010434867706249002
0.025,-0.0037466994298607417
0.026,-0.02118833191160215
0.027,-0.0021564055937668527
0.028,-0.0007663381119628376
0.029,-0.0017630760683378327
0.03,-0.012393063796497785
0.031,-0.009795587902334573
0.032,0.004786404533438313
0.033,0.019243387520987684
0.034,-0.012297678085595834
0.035,-0.009359271370725859
0.036,0.00971530012024981
0.037,0.02214052533308586
0.038,-0.002564782508771655
0.039,0.003115879659097645
0.04,9.884005012101562e-05
0.041,0.0040563287061359645
0.042,0.0005352167375792037
0.043,-0.0046679532045016655
0.044,-0.00331883163182029
0.045,-0.0029484703110380403
0.046,0.018766143831476373
0.047,-0.012211037369487877
0.048,-0.006216010605785682
0.049,-0.0024055781060421796
0.05,-0.018690042780415868
0.051,0.003738916289704834
0.052,-0.0002473416242357189
0.053,0.010380888987775023
0.054,0.018523808182500975
0.055,0.0054839132114568746
0.056,-0.00887031919690179
0.057,-0.005232594510503185
0.058,-0.0020063693286867116
0.059,-0.0021870797634625455
0.06,0.011276968991019761
0.061,-0.0005020897077579688
0.062,0.016550465284746383
0.063,0.00027275344438432386
0.064,0.025446279863763563
0.065,-0.011000343866825414
0.066,-0.009888525828823528
0.067,0.0011910875083690569
0.068,-0.0018228793538530626
0.069,0.004787331363319939
0.07,0.00041937859955193667
0.071,-0.017834685964447042
0.072,0.004161771423465006
0.073,0.00867474815860872
0.074,0.0014606313895743476
0.075,0.00020901860649086322
0.076,-0.0031147754081983087
0.077,0.004580427933731415
0.078,-0.004994612832816349
0.079,-0.006996546628870694
0.08,0.0009537253065525033
0.081,-0.010099250490511778
0.082,0.004164822805022196
0.083,0.000571526461333565
0.084,0.0066979889762030995
0.085,0.013607174940107315
0.086,0.004621045420463198
0.087,0.017186714536923407
0.088,0.017089069850154584
0.089,-0.009901388947072685
0.09,-0.014581826065026067
0.091,0.007395324244947205
0.092,-0.0015498429171099198
0.093,0.005438885104309108
0.094,-0.0011368841059871291
0.095,-0.01159537203891169
0.096,-0.0007094000890007365
0.097,-0.005175583790413218
0.098,-0.003274501278856208
0.099,0.0013368373510257968
0.1,-0.004941541855574454
0.101,-0.007200001078301694
0.102,-0.018972753962799408
0.103,0.007736023887664615
0.104,-0.019287070672544836
0.105,0.0016529742108928125
0.106,0.003994120263418011
0.107,0.007405022437579829
0.108,0.0057255384798969725
0.109,0.00019390332759664387
0.11,0.0015844230307064861
0.111,0.007122696037047681
0.112,0.0016072799426248804
0.113,0.0003433475582386101
0.114,-0.008828672895454475
0.115,0.000917610006098425
0.116,0.0023312496750362297
0.117,-0.00884029081250219
0.118,0.009345451338962031
0.119,-0.00629376671709557
0.12,-0.007981794000972523
0.121,-0.006480792863829538
0.122,-0.0008969030615899732
0.123,-0.017365211470316326
0.124,-0.00936400929010963
0.125,0.0027132050350332547
0.126,0.0059980386781095804
0.127,-0.0033670793836189086
0.128,0.014065748748789846
