Time,Distance1,Distance2,Distance3
0.0,14.07646357179353,14.14261894499188,13.995491510765856
0.001,14.071838233179115,14.109590464327583,14.007288661955299
0.002,14.09783380997497,14.22929391258169,14.044899278459937
0.003,14.110414976997426,14.1099334425353,14.029792907151307
0.004,14.198071606484387,14.145524330941049,14.042064174660567
0.005,14.092105386307624,14.175899538752114,14.09199993803676
0.006,14.124860249338543,14.241576847437758,14.01132869894891
0.007,14.100691487887556,14.219267566554722,14.013287111910683
0.008,14.163571478900922,14.241827169802555,14.003762534412491
0.009,14.109697362826667,14.173098959702402,13.947136585589583
0.01,14.176073887646364,14.091492188469337,13.991570378109266
0.011,14.181406650438538,14.112488485346505,14.060221594278257
0.012,14.137401221346881,14.135294746173905,13.96670821900315
0.013,14.177124406477821,14.070395956032309,13.975855176619934
0.014,14.151334057692152,14.23768845973541,13.994201504564094
0.015,14.081084462870761,14.130571786434253,13.95755229273979
0.016,14.138334652511377,14.159289451973695,13.978235868528834
0.017,14.286384832696786,14.134385767024046,14.02960170793478
0.018,14.12526987813305,14.127582705975312,13.930383969519733
0.019,14.148953271477346,14.134269540407951,14.021328051828041
0.02,14.079327038849607,14.186900187981381,14.005232036735904
0.021,14.076368344307536,14.197762421453573,14.013825981043457
0.022,14.167936368895464,14.195049926186075,13.922364330765381
0.023,14.091404690421612,14.249743008086451,13.875366294515153
0.024,14.11397940507912,14.23416672544893,14.006552059780132
0.025,14.204934557336532,14.16609506719043,14.038421050661494
0.026,14.169011784492556,14.16212503584503,14.00891101040701
0.027,14.19055933964137,14.232117070021285,14.049265654356619
0.028,14.145698685913539,14.164326247592268,14.029620487621731
0.029,14.166828771917308,14.184793643918924,13.955605937563623
0.03,14.10859472356801,14.118379525663702,14.020071156757618
0.031,14.183731885966854,14.252502638120223,14.021622726313979
0.032,14.16155943613904,14.220041670927372,13.9490610454049
0.033,14.212270404570317,14.08836343160893,13.970827244181821
0.034,14.199646165003559,14.19819564337418,13.967336014257574
0.035,14.20997830223922,14.108126227708974,13.973343331845918
0.036,14.089651417432137,14.207772908482452,14.076876558397796
0.037,14.139568395252903,14.091053754488577,14.068280822458659
0.038,14.116595563377516,14.110741532364248,14.063567084373863
0.039,14.195513861490497,14.205276351910006,13.99198812182188
0.04,14.168136832164565,14.127686055044403,13.99321524242148
0.041,14.112224833861662,14.256451439890014,13.900467167981814
0.042,14.016156876729976,14.17620503384495,13.98716092377822
